url,address,year_built,condition,wear_percent,lat,lon
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1254757,"ул. 2-я Степная, 19, Астрахань, Астраханская область",1955,Аварийный,40,46.2760917,47.96579
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1237541,"ул. 2-я Степная, 21, Астрахань, Астраханская область",1955,Исправный,,46.2745082,47.9646619
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1231578,"ул. 2-я Степная, 23, Астрахань, Астраханская область",1955,Аварийный,43,46.2758697,47.9666027
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1043535,"ул. 2-я Степная, 25, Астрахань, Астраханская область",1955,Исправный,,46.2757445,47.9670088
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1262317,"ул. 2-я Степная, 27, Астрахань, Астраханская область",1955,Аварийный,41,46.2758403,47.9658255
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1290441,"ул. 2-я Степная, 29, Астрахань, Астраханская область",1955,Аварийный,,46.2757151,47.9662413
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1260726,"ул. 2-я Степная, 33, Астрахань, Астраханская область",1959,Аварийный,42,46.275608,47.9666553
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1252420,"ул. 2-я Степная, 39, Астрахань, Астраханская область",1959,Исправный,,46.2754825,47.9670878
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1230939,"ул. 2-я Степная, 41, Астрахань, Астраханская область",1958,Аварийный,35,46.2752962,47.9674811
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1270393,"ул. 28-й Армии, 2, Астрахань, Астраханская область",1963,Исправный,,46.3734331,48.0505565
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/633902,"ул. 28-й Армии, 4, Астрахань, Астраханская область",,Исправный,,46.3732931,48.0520615
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/658010,"ул. 28-й Армии, 6, Астрахань, Астраханская область",1963,Исправный,60,46.373268,48.0529036
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/658011,"ул. 28-й Армии, 8 корпус 1, Астрахань, Астраханская область",1973,Исправный,60,46.3734431,48.0542537
